Accession	GlycoCTResidueIndex	CanonicalResidueIndex
G08371CD	1	1
G08371CD	3	2
G08371CD	1	1
G08371CD	2	1.1
G08371CD	3	2
G08371CD	4	2.1
G15807NZ	1	1
G15807NZ	3	2
G15807NZ	1	1
G15807NZ	2	1.1
G15807NZ	3	2
G15807NZ	4	2.1
G27025MB	1	1
G27025MB	1	1
G27025MB	2	1.1
G36123IU	1	1
G36123IU	3	2
G36123IU	1	1
G36123IU	2	1.1
G36123IU	3	2
G36123IU	4	2.1
G38301SX	1	1
G38301SX	3	2
G38301SX	1	1
G38301SX	2	1.1
G38301SX	3	2
G38301SX	4	2.1
G39738WL	1	1
G39738WL	1	1
G39738WL	2	1.1
G42313WU	1	1
G42313WU	1	1
G42313WU	2	1.1
G57321FI	1	1
G57321FI	1	1
G57321FI	2	1.1
G61406KC	1	1
G61406KC	1	1
G61406KC	2	1.1
G61418DU	1	1
G61418DU	1	1
G61418DU	2	1.1
G73708UL	1	1
G73708UL	3	2
G73708UL	1	1
G73708UL	2	1.1
G73708UL	3	2
G73708UL	4	2.1
G92345KY	1	1
G92345KY	3	2
G92345KY	1	1
G92345KY	2	1.1
G92345KY	3	2
G92345KY	4	2.1
