enzyme_id,type,orthology_group,uniprot,protein_refseq,dna_refseq,gene_name,gene_id,species,branch_site_specificity
1,GT,B3gnt8,Q8R3I9,NP_666296,NM_146184,B3gnt8,232984,Mus musculus,only GTs to tetra-anntenary
2,GT,Alg9,Q8VDI9,NP_598742,NM_133981,Alg9,102580,Mus musculus,
3,GT,St6gal1,P15907,NP_775323,NM_173216,ST6GAL1,6480,Homo sapiens,
4,GT,Fut2,Q9JL27,NP_061364,NM_018876,Fut2,14344,Mus musculus,
5,GT,Mgat3,Q10470,NP_034925,NM_010795,Mgat3,17309,Mus musculus,
6,GT,B4galt2,O60909,NP_085076,NM_030587,B4GALT2,8704,Homo sapiens,
7,GT,Alg3,Q8K2A8,NP_666051,NM_145939,Alg3,208624,Mus musculus,
8,GT,B4galnt4,Q76KP1,NP_848632,NM_178537,B4GALNT4,338707,Homo sapiens,
9,GT,Alg10,Q3UGP8,NP_001028613,NM_001033441,Alg10b,380959,Mus musculus,
10,GT,B4galnt4,Q766D5,NP_808565,NM_177897,B4galnt4,330671,Mus musculus,Branch site specificity unknown
11,GT,B3galt5,Q9Y2C3,NP_006048,NM_006057,B3GALT5,10317,Homo sapiens,
12,GT,Alg8,Q9BVK2,NP_076984,NM_024079,ALG8,79053,Homo sapiens,
13,GT,Alg6,Q3TAE8,NP_001074733,NM_001081264,Alg6,320438,Mus musculus,
14,GT,Abo,P16442,NP_065202,NM_020469,ABO,28,Homo sapiens,
15,GT,Fut9,Q9Y231,NP_006572,NM_006581,FUT9,10690,Homo sapiens,
16,GT,Alg2,Q9H553,NP_149078,NM_033087,ALG2,85365,Homo sapiens,
17,GT,St3gal3,Q11203,NP_777623,NM_006279,ST3GAL3,6487,Homo sapiens,
18,GT,Alg11,Q2TAA5,NP_001004127.1,NM_001004127,ALG11,440138,Homo sapiens,
19,GT,Alg1,Q9BT22,NP_061982,NM_019109,ALG1,56052,Homo sapiens,
20,GT,B4galnt3,Q6L9W6,NP_775864,NM_173593,B4GALNT3,283358,Homo sapiens,
21,GT,Mgat4a,Q9UM21,NP_036346,NM_012214,MGAT4A,11320,Homo sapiens,
22,GT,Abo,P38649,NP_109643,NM_030718,Abo,80908,Mus musculus,
23,GT,Alg13,Q9D8C3,NP_080523,NM_026247,Alg13,67574,Mus musculus,
24,GT,St3gal4,Q11206,NP_006269,NM_006278,ST3GAL4,6484,Homo sapiens,
25,GT,Alg3,Q92685,NP_005778,NM_005787,ALG3,10195,Homo sapiens,
26,GT,B4galnt3,Q6L8S8,NP_942585,NM_198884,B4galnt3,330406,Mus musculus,Branch site specificity unknown
27,GT,Alg13,Q9NP73,NP_060936,NM_018466,ALG13,79868,Homo sapiens,
28,GT,Fut4,Q11127,NP_034372,NM_010242,Fut4,14345,Mus musculus,Branch site specificity unknown: Listed in potential order of specificity
29,GT,Fut3,P21217,NP_000140,NM_000149,FUT3,2525,Homo sapiens,
30,GT,Fut5,Q11128,NP_002025,NM_002034,FUT5,2527,Homo sapiens,
31,GT,Mgat4a,Q812G0,NP_776295,NM_173870,Mgat4a,269181,Mus musculus,
32,GT,Alg9,Q9H6U8,NP_079016,NM_024740,ALG9,79796,Homo sapiens,
33,GT,Alg14,Q96F25,NP_659425,NM_144988,ALG14,199857,Homo sapiens,
34,GT,Dpagt1,P42867,NP_031901,NM_007875,Dpagt1,13478,Mus musculus,
35,GT,Glt28d2,Q8BML3,NP_796104,NM_177130,Glt28d2,320302,Mus musculus,
36,GT,B3gnt2,Q9Z222,NP_058584,NM_016888,B3gnt2,53625,Mus musculus,Branch site specificity unknown
37,GT,Mgat5b,Q765H6,NP_766536,NM_172948,Mgat5b,268510,Mus musculus,
38,GT,Mgat4c,Q9D306,NP_080519,NM_026243,Mgat4c,67569,Mus musculus,
39,GT,Fut10,Q5F2L2,NP_598922,NM_134161,Fut10,171167,Mus musculus,Branch site specificity unknown
40,GT,Mgat5b,Q3V5L5,NP_653278,NM_144677,MGAT5B,146664,Homo sapiens,
41,GT,St3gal4,Q91Y74,NP_033204,NM_009178,St3gal4,20443,Mus musculus,Branch site specificity unknown
42,GT,B3gnt8,Q7Z7M8,NP_940942,NM_198540,B3GNT8,374907,Homo sapiens,
43,GT,St6gal2,Q96JF0,NP_115917,NM_032528,ST6GAL2,84620,Homo sapiens,
44,GT,B4galt3,Q91YY2,NP_065604,NM_020579,B4galt3,57370,Mus musculus,Branch site specificity unknown
45,GT,Dpagt1,Q9H3H5,NP_001373,NM_001382,DPAGT1,1798,Homo sapiens,
46,GT,Alg6,Q9Y672,NP_037471,NM_013339,ALG6,29929,Homo sapiens,
47,GT,B3gnt2,Q9NY97,NP_006568,NM_006577,B3GNT2,10678,Homo sapiens,
48,GT,B4galt2,Q9Z2Y2,NP_059073,NM_017377,B4galt2,53418,Mus musculus,Branch site specificity unknown
49,GT,Alg12,Q8VDB2,NP_663452,NM_145477,Alg12,223774,Mus musculus,
50,GT,Alg1,Q921Q3,NP_663337,NM_145362,Alg1,208211,Mus musculus,
51,GT,Alg14,Q9D081,NP_077140,NM_024178,Alg14,66789,Mus musculus,
52,GT,St6gal2,Q76K27,NP_766417,NM_172829,St6gal2,240119,Mus musculus,Branch site specificity unknown
53,GT,St6gal1,Q64685,NP_666045,NM_145933,St6gal1,20440,Mus musculus,Branch site specificity unknown
54,GT,Alg11,Q3TZM9,NP_898965,NM_183142,Alg11,207958,Mus musculus,
55,GT,B3galt2,O43825,NP_003774,NM_003783,B3GALT2,8707,Homo sapiens,
56,GT,Mgat2,Q10469,NP_002399,NM_002408,MGAT2,4247,Homo sapiens,
57,GT,Alg10,Q5BKT4,NP_116223,NM_032834,ALG10,84920,Homo sapiens,
58,GT,Alg10,Q5I7T1,NP_001013642,,ALG10B,144245,Homo sapiens,
59,GT,Mgat4c,Q9UBM8,NP_037376,NM_013244,MGAT4C,25834,Homo sapiens,
60,GT,Mgat1,P26572,NP_001108090,NM_001114618,MGAT1,4245,Homo sapiens,
61,GT,Fut1,P19526,NP_000139,NM_000148,FUT1,2523,Homo sapiens,
62,GT,St3gal6,Q8VIB3,NP_061254,NM_018784,St3gal6,54613,Mus musculus,Branch site specificity unknown
63,GT,B4galt3,O60512,NP_003770,NM_003779,B4GALT3,8703,Homo sapiens,
64,GT,St3gal6,Q9Y274,NP_006091,NM_006100,ST3GAL6,10402,Homo sapiens,
65,GT,Fut1,O09160,NP_032077,NM_008051,Fut1,14343,Mus musculus,
66,GT,Fut10,Q6P4F1,NP_116053,NM_032664,FUT10,84750,Homo sapiens,
67,GT,Mgat2,Q921V5,NP_666147,NM_146035,Mgat2,217664,Mus musculus,
68,GT,Sec1,P97353,NP_001258507,NM_019934,Sec1,56546,Mus musculus,
69,GT,B3gnt4,Q1RLK6,NP_941013,NM_198611,B3gnt4,231727,Mus musculus,Branch site specificity unknown
70,GT,Alg2,Q9DBE8,NP_064382,NM_019998,Alg2,56737,Mus musculus,
71,GT,Fut11,Q8BHC9,NP_082704,NM_028428,Fut11,73068,Mus musculus,Branch site specificity unknown
72,GT,Fut2,Q10981,NP_000502,NM_000511,FUT2,2524,Homo sapiens,
73,GT,Mgat3,Q09327,NP_003500,NM_002409,MGAT3,4248,Homo sapiens,
74,GT,B3galt2,O54905,NP_064409,NM_020025,B3galt2,26878,Mus musculus,Branch site specificity unknown
75,GT,Mgat4b,Q812F8,NP_666038,NM_145926,Mgat4b,103534,Mus musculus,
76,GT,Fut8,Q9WTS2,NP_058589,NM_016893,Fut8,53618,Mus musculus,
77,GT,Fut11,Q495W5,NP_775811,NM_173540,FUT11,170384,Homo sapiens,
78,GT,Fut9,O88819,NP_034373,NM_010243,Fut9,14348,Mus musculus,Branch site specificity unknown: Listed in potential order of specificity
79,GT,Mgat5,Q09328,NP_002401,NM_002410,MGAT5,4249,Homo sapiens,
80,GT,Fut8,Q9BYC5,NP_835368,NM_178155,FUT8,2530,Homo sapiens,
81,GT,B3galt5,Q9JI67,NP_149161,NM_033149,B3galt5,96961,Mus musculus,Branch site specificity unknown
